,rep,EncounterID,TrueEnc,Pelagic,NWHI,MHI,CorrectDW
test_mhi93,94,M1,34,Ambiguous,Ambiguous,Ambiguous,60
test_pel94,95,P1,2,Ambiguous,Ambiguous,Ambiguous,67
test_nwhi94,95,N2,14,Ambiguous,Ambiguous,Ambiguous,44
test_mhi94,95,M1,34,Ambiguous,Ambiguous,Ambiguous,47
test_pel95,96,P1,2,Ambiguous,Ambiguous,Ambiguous,62
test_nwhi95,96,N4,16,Ambiguous,Ambiguous,Ambiguous,56
test_mhi95,96,M3,32,Ambiguous,Ambiguous,MHI,77
test_pel96,97,P7,8,Ambiguous,Ambiguous,Ambiguous,49
test_nwhi96,97,N1,17,Ambiguous,Ambiguous,Ambiguous,30
test_mhi96,97,M2,31,MHI,MHI,MHI,97
test_pel97,98,P5,5,Ambiguous,Ambiguous,Ambiguous,54
test_nwhi97,98,N4,16,Ambiguous,Ambiguous,Ambiguous,63
test_mhi97,98,M3,32,Ambiguous,Ambiguous,Ambiguous,71
test_pel98,99,P1,2,Ambiguous,Ambiguous,Ambiguous,61
test_nwhi98,99,N4,16,Ambiguous,Ambiguous,Ambiguous,56
test_mhi98,99,M4,33,Ambiguous,Ambiguous,MHI,100
test_pel99,100,P2,3,Ambiguous,Ambiguous,Ambiguous,68
test_nwhi99,100,N4,16,Ambiguous,Ambiguous,Ambiguous,56
test_mhi99,100,M3,32,Ambiguous,Ambiguous,MHI,78
