"Pelagic","NWHI","MHI"
"M1",4,12,21
"accuracy",0,0,0
"rep",78,78,78
"P2",20,9,8
"P3",27,7,3
"P7",17,4,16
"P4",13,14,10
"N2",5,22,10
"N3",7,25,5
"N4",4,22,11
"N1",9,15,13
"M2",10,4,23
"M3",10,6,21
"M4",4,3,30
"M1",7,11,19
"accuracy",0,0,0
"rep",79,79,79
"P8",22,6,9
"P3",21,7,9
"P2",20,9,8
"P1",17,10,10
"N2",3,23,11
"N3",6,26,5
"N4",6,13,18
"N1",7,13,17
"M2",5,6,26
"M3",9,4,24
"M4",4,4,29
"M1",7,11,19
"accuracy",0,0,0
"rep",80,80,80
"P8",25,2,10
"P3",20,11,6
"P7",13,10,14
"P4",11,17,9
"N2",7,21,9
"N3",2,26,9
"N4",9,18,10
"N1",7,13,17
"M2",6,10,21
"M3",7,11,19
"M4",10,5,22
"M1",4,12,21
"accuracy",0,0,0
"rep",81,81,81
"P6",18,12,7
"P2",26,2,9
"P7",14,9,14
"P1",16,10,11
"N2",9,21,7
"N3",8,22,7
"N4",11,20,6
"N1",6,15,16
"M2",7,5,25
"M3",8,9,20
"M4",6,4,27
"M1",10,11,16
"accuracy",0,0,0
"rep",82,82,82
"P2",17,12,8
"P4",10,16,11
"P8",25,2,10
"P3",27,2,8
"N2",4,25,8
"N3",8,22,7
"N4",9,18,10
"N1",12,12,13
"M2",13,4,20
"M3",14,4,19
"M4",5,5,27
"M1",5,13,19
"accuracy",0,0,0
"rep",83,83,83
"P8",23,4,10
"P6",17,15,5
"P3",22,4,11
"P2",19,9,9
"N2",4,24,9
"N3",2,29,6
"N4",7,17,13
"N1",6,17,14
"M2",7,3,27
"M3",7,5,25
"M4",4,2,31
"M1",8,15,14
"accuracy",0,0,0
"rep",84,84,84
"P1",23,4,10
"P3",28,5,4
"P4",13,13,11
"P5",18,13,6
"N2",9,17,11
"N3",5,18,14
"N4",13,13,11
"N1",8,10,19
"M2",5,6,26
"M3",15,4,18
"M4",6,3,28
"M1",7,10,20
"accuracy",0,0,0
"rep",85,85,85
"P6",23,9,5
"P2",25,10,2
"P7",10,9,18
"P5",17,11,9
"N2",11,22,4
"N3",5,21,11
"N4",8,17,12
"N1",8,13,16
"M2",2,7,28
"M3",10,9,18
"M4",3,3,31
"M1",5,13,19
"accuracy",0,0,0
"rep",86,86,86
"P7",20,8,9
"P1",19,10,8
"P3",26,6,5
"P2",20,14,3
"N2",6,24,7
"N3",3,26,8
"N4",8,18,11
"N1",8,17,12
"M2",12,9,16
"M3",11,9,17
"M4",5,5,27
"M1",10,14,13
"accuracy",0,0,0
"rep",87,87,87
"P7",18,4,15
"P2",22,7,8
"P6",17,15,5
"P3",26,4,7
"N2",9,21,7
"N3",8,26,3
"N4",7,21,9
"N1",9,14,14
"M2",8,9,20
"M3",9,6,22
"M4",7,4,26
"M1",12,7,18
"accuracy",0,0,0
"rep",88,88,88
"P7",14,5,18
"P6",22,8,7
"P3",23,7,7
"P2",13,15,9
"N2",12,17,8
"N3",10,25,2
"N4",10,16,11
"N1",8,14,15
"M2",12,8,17
"M3",10,9,18
"M4",4,3,30
"M1",14,4,19
"accuracy",0,0,0
"rep",89,89,89
"P1",16,7,14
"P5",18,8,11
"P6",22,8,7
"P7",15,7,15
"N2",6,24,7
"N3",7,21,9
"N4",10,16,11
"N1",4,15,18
"M2",11,3,23
"M3",9,3,25
"M4",7,3,27
"M1",7,10,20
"accuracy",0,0,0
"rep",90,90,90
"P2",18,10,9
"P8",18,10,9
"P7",13,6,18
"P1",21,9,7
"N2",6,21,10
"N3",1,19,17
"N4",13,16,8
"N1",10,9,18
"M2",12,6,19
"M3",9,4,24
"M4",8,3,26
"M1",4,14,19
"accuracy",0,0,0
"rep",91,91,91
"P3",25,9,3
"P1",16,9,12
"P5",12,17,8
"P7",16,2,19
"N2",7,18,12
"N3",8,21,8
"N4",11,13,13
"N1",6,12,19
"M2",6,6,25
"M3",8,3,26
"M4",6,2,29
"M1",8,13,16
"accuracy",0,0,0
"rep",92,92,92
"P6",25,7,5
"P2",21,8,8
"P5",14,13,10
"P7",13,9,15
"N2",8,21,8
"N3",5,21,11
"N4",11,14,12
"N1",8,12,17
"M2",8,7,22
"M3",7,5,25
"M4",6,3,28
"M1",5,12,20
"accuracy",0,0,0
"rep",93,93,93
"P5",15,13,9
"P7",12,6,19
"P1",18,12,7
"P2",21,8,8
"N2",10,21,6
"N3",7,23,7
"N4",11,17,9
"N1",6,18,13
"M2",7,4,26
"M3",9,6,22
"M4",9,5,23
"M1",8,12,17
"accuracy",0,0,0
"rep",94,94,94
"P4",16,13,8
"P5",17,10,10
"P1",18,8,11
"P7",13,6,18
"N2",12,18,7
"N3",9,20,8
"N4",11,14,12
"N1",6,12,19
"M2",11,6,20
"M3",6,9,22
"M4",9,6,22
"M1",7,10,20
"accuracy",0,0,0
"rep",95,95,95
"P7",14,5,18
"P3",20,5,12
"P4",13,12,12
"P5",13,18,6
"N2",6,17,14
"N3",8,19,10
"N4",16,13,8
"N1",7,13,17
"M2",4,6,27
"M3",7,9,21
"M4",6,5,26
"M1",7,7,23
"accuracy",0,0,0
"rep",96,96,96
"P7",9,9,19
"P4",10,12,15
"P6",22,13,2
"P1",18,9,10
"N2",6,26,5
"N3",4,24,9
"N4",9,17,11
"N1",4,16,17
"M2",5,8,24
"M3",9,4,24
"M4",6,3,28
"M1",6,10,21
"accuracy",0,0,0
"rep",97,97,97
"P3",29,5,3
"P6",15,14,8
"P2",15,15,7
"P7",18,4,15
"N2",10,19,8
"N3",5,27,5
"N4",6,20,11
"N1",9,12,16
"M2",9,3,25
"M3",11,3,23
"M4",6,5,26
"M1",9,12,16
"accuracy",0,0,0
"rep",98,98,98
"P8",26,2,9
"P6",19,10,8
"P4",15,10,12
"P2",16,15,6
"N2",4,25,8
"N3",6,24,7
"N4",12,15,10
"N1",4,16,17
"M2",6,4,27
"M3",10,9,18
"M4",4,5,28
"M1",6,10,21
"accuracy",0,0,0
"rep",99,99,99
