"",0.475180808566996,0.475180808566996,0.475180808566996,0.475180808566996
"Pelagic",247,105,100,0.45353982300885
"NWHI",105,219,128,0.515486725663717
"MHI",90,81,281,0.378318584070796
"",0.455071276214896,0.455071276214896,0.455071276214896,0.455071276214896
"Pelagic",225,96,131,0.502212389380531
"NWHI",78,238,136,0.473451327433628
"MHI",90,78,284,0.371681415929204
"",0.448198641074877,0.448198641074877,0.448198641074877,0.448198641074877
"Pelagic",223,107,122,0.506637168141593
"NWHI",91,216,145,0.52212389380531
"MHI",82,80,290,0.358407079646018
"",0.462633125053752,0.462633125053752,0.462633125053752,0.462633125053752
"Pelagic",218,106,128,0.517699115044248
"NWHI",103,226,123,0.5
"MHI",84,83,285,0.369469026548673
"",0.468810166683397,0.468810166683397,0.468810166683397,0.468810166683397
"Pelagic",220,114,118,0.513274336283186
"NWHI",97,223,132,0.506637168141593
"MHI",103,66,283,0.373893805309734
"",0.471413559487073,0.471413559487073,0.471413559487073,0.471413559487073
"Pelagic",209,125,118,0.537610619469027
"NWHI",94,221,137,0.511061946902655
"MHI",93,84,275,0.391592920353982
"",0.489675390048946,0.489675390048946,0.489675390048946,0.489675390048946
"Pelagic",208,120,124,0.539823008849557
"NWHI",95,236,121,0.47787610619469
"MHI",103,85,264,0.415929203539823
"",0.474647448238977,0.474647448238977,0.474647448238977,0.474647448238977
"Pelagic",250,112,90,0.446902654867257
"NWHI",87,237,128,0.475663716814159
"MHI",87,76,289,0.360619469026549
"",0.4312607136684,0.4312607136684,0.4312607136684,0.4312607136684
"Pelagic",249,99,104,0.449115044247788
"NWHI",84,234,134,0.482300884955752
"MHI",99,85,268,0.407079646017699
"",0.448870342115674,0.448870342115674,0.448870342115674,0.448870342115674
"Pelagic",226,104,122,0.5
"NWHI",106,227,119,0.497787610619469
"MHI",93,84,275,0.391592920353982
"",0.464042559463451,0.464042559463451,0.464042559463451,0.464042559463451
"Pelagic",253,101,98,0.440265486725664
"NWHI",96,218,138,0.517699115044248
"MHI",91,93,268,0.407079646017699
"",0.466827151603933,0.466827151603933,0.466827151603933,0.466827151603933
"Pelagic",225,105,122,0.502212389380531
"NWHI",82,236,134,0.47787610619469
"MHI",82,86,284,0.371681415929204
"",0.455473848585426,0.455473848585426,0.455473848585426,0.455473848585426
"Pelagic",230,105,117,0.491150442477876
"NWHI",104,207,141,0.542035398230089
"MHI",72,90,290,0.358407079646018
"",0.463849658743909,0.463849658743909,0.463849658743909,0.463849658743909
"Pelagic",234,89,129,0.482300884955752
"NWHI",80,217,155,0.519911504424779
"MHI",86,82,284,0.371681415929204
"",0.459729841091326,0.459729841091326,0.459729841091326,0.459729841091326
"Pelagic",202,120,130,0.553097345132743
"NWHI",105,204,143,0.548672566371681
"MHI",96,73,283,0.373893805309734
"",0.488516573989303,0.488516573989303,0.488516573989303,0.488516573989303
"Pelagic",240,110,102,0.469026548672566
"NWHI",83,242,127,0.464601769911504
"MHI",91,71,290,0.358407079646018
"",0.43843837930877,0.43843837930877,0.43843837930877,0.43843837930877
"Pelagic",216,99,137,0.52212389380531
"NWHI",77,253,122,0.440265486725664
"MHI",103,94,255,0.435840707964602
"",0.464410567924891,0.464410567924891,0.464410567924891,0.464410567924891
"Pelagic",223,106,123,0.506637168141593
"NWHI",117,202,133,0.553097345132743
"MHI",95,87,270,0.402654867256637
"",0.488025924702082,0.488025924702082,0.488025924702082,0.488025924702082
"Pelagic",225,111,116,0.502212389380531
"NWHI",88,227,137,0.497787610619469
"MHI",87,86,279,0.382743362831858
"",0.464484819381331,0.464484819381331,0.464484819381331,0.464484819381331
"Pelagic",243,118,91,0.462389380530973
"NWHI",100,223,129,0.506637168141593
"MHI",93,78,281,0.378318584070796
"",0.449664863241603,0.449664863241603,0.449664863241603,0.449664863241603
